run,tag,step,value,wall_time
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2490368,8191.97021484375,1767090870.9078562
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2506752,8183.1201171875,1767090940.4162717
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2523136,8169.27978515625,1767091007.654968
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2539520,8155.830078125,1767091078.0719755
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2555904,8202.2001953125,1767091144.9132192
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2572288,8225.3798828125,1767091215.161393
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2588672,8203.1201171875,1767091287.644213
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2605056,8103.3701171875,1767091361.748123
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2621440,8085.10986328125,1767091435.90455
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2637824,8149.43994140625,1767091513.6898732
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2654208,8114.93017578125,1767091584.5609019
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2670592,8256.58984375,1767091655.5745597
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2686976,8230.1103515625,1767091745.106392
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2703360,8211.8701171875,1767091827.2088869
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2719744,8187.080078125,1767091908.434852
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2736128,8202.5400390625,1767091990.3558495
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2752512,8181.2099609375,1767092075.4487972
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2768896,8114.419921875,1767092161.8658228
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2785280,8054.830078125,1767092240.9117563
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2801664,8155.56982421875,1767092325.7577803
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2818048,8269.080078125,1767092411.2700167
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2834432,8213.66015625,1767092481.741859
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2850816,8256.76953125,1767092568.9563906
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2867200,8149.6201171875,1767092663.2731547
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2883584,8128.4599609375,1767092755.6152754
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2899968,8154.509765625,1767092847.3792062
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2916352,8191.919921875,1767092941.0929525
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2932736,8228.0498046875,1767093022.837517
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2949120,8244.7900390625,1767093101.7001677
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2965504,8284.23046875,1767093183.1462166
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2981888,8345.1103515625,1767093262.990665
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2998272,8474.83984375,1767093344.9894662
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3014656,8372.66015625,1767093396.190636
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3031040,8294.25,1767093444.4695988
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3047424,8268.3701171875,1767093498.0956233
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3063808,8270.8798828125,1767093549.7271824
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3080192,8285.3798828125,1767093596.729346
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3096576,8328.5400390625,1767093646.89006
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3112960,8281.3095703125,1767093695.263725
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3129344,8224.830078125,1767093744.961046
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3145728,8248.3896484375,1767093793.516958
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3162112,8271.3798828125,1767093840.118426
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3178496,8311.490234375,1767093889.441902
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3194880,8358.3896484375,1767093934.9030342
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3211264,8282.0498046875,1767093981.82502
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3227648,8351.98046875,1767094029.9014447
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,3244032,8447.08984375,1767094076.302476
